Year,Total Energy,Total-1,Industry,Domestic transport
1972,371.0,366.0,156.0,58.0
1973,391.0,371.0,165.0,62.0
1974,362.0,391.0,164.0,58.0
1975,374.0,362.0,160.0,62.0
1976,392.0,374.0,159.0,67.0
1977,381.0,392.0,148.0,70.0
1978,388.0,381.0,151.0,71.0
1979,401.0,388.0,156.0,71.0
1980,381.0,401.0,148.0,68.0
1981,367.0,381.0,138.0,67.0
1982,349.0,367.0,128.0,67.0
1983,345.0,349.0,129.0,71.0
1984,355.0,345.0,135.0,75.0
1985,376.0,355.0,140.0,76.0
1986,373.0,376.0,138.0,79.0
1987,385.0,373.0,141.0,81.0
1988,382.0,385.0,143.0,85.0
1989,376.0,382.0,141.0,86.0
1990,367.0,376.0,140.0,77.0
1991,367.0,367.0,135.0,76.0
1992,362.0,367.0,132.0,77.0
1993,365.0,362.0,135.0,73.0
1994,372.0,365.0,140.0,75.0
1995,380.0,372.0,146.0,77.0
1996,387.0,380.0,148.0,77.0
1997,382.0,387.0,153.0,76.0
1998,385.0,382.0,152.0,80.0
1999,384.0,385.0,153.0,80.0
2000,381.0,384.0,153.0,79.0
2001,388.0,381.0,152.0,81.0
2002,393.0,388.0,154.0,86.0
2003,398.0,393.0,157.0,88.0
2004,398.0,398.0,157.0,90.0
2005,393.0,398.0,155.0,87.0
2006,392.0,393.0,156.0,88.0
2007,395.0,392.0,159.0,89.0
2008,386.0,395.0,155.0,88.0
2009,370.0,386.0,137.0,86.0
2010,395.0,370.0,150.0,88.0
2011,380.0,395.0,148.0,87.0
2012,378.0,380.0,146.0,84.0
2013,376.0,378.0,144.0,83.0
2014,368.0,376.0,143.0,84.0
2015,372.0,368.0,141.0,86.0
2016,376.0,372.0,142.0,86.0
2017,378.0,376.0,143.0,88.0
2018,372.0,378.0,141.0,86.0
2019,371.0,372.0,143.0,86.0
2020,355.0,371.0,136.0,80.0
2021,372.0,355.0,140.0,83.0
