year,Fossil CO2 emissions (Tons)
2016,44694415
2015,42840030
2014,43840340
2013,44155645
2012,45666232
2011,47207641
2010,51838260
2009,45948944
2008,49589169
2007,51583036
2006,54248941
2005,54597052
2004,57666908
2003,59101161
2002,58638935
2001,57440941
2000,57442762
1999,61261409
1998,62296945
1997,60867092
1996,67284431
1995,61822865
1994,62050676
1993,59621059
1992,59806157
1991,57350532
1990,56677744
1989,57270830
1988,60082470
1987,61958965
1986,63866260
1985,62247696
1984,58308917
1983,58823229
1982,64507299
1981,70557688
1980,77954681
1979,85316673
1978,82407803
1977,87789213
1976,91321804
1975,84539600
1974,82951880
1973,90130403
1972,88261338
1971,87888534
